Event,groundtruth
normal event,normal_event
Traffic Adherence,not_normal_event
Fleeing Individuals,not_normal_event
Peaceful Interaction,normal_event
Prowling,not_normal_event
shooting,not_normal_event
Safe Handling,normal_event
Unauthorised Access,not_normal_event
Violent Gestures,not_normal_event
Mysterious Intruder,not_normal_event
legal transaction,normal_event
Physical Assault,not_normal_event
Handcuffs,not_normal_event
Skid Marks,not_normal_event
Chaos,not_normal_event
Unusual Activities,not_normal_event
assault,not_normal_event
Aggressive body language,not_normal_event
Regular shopping,normal_event
Friendly Interaction,normal_event
non-threatening posture,normal_event
Quick_Transactions,not_normal_event
Suspect,not_normal_event
Peaceful Gathering,normal_event
Burglary,not_normal_event
Non-Threatening Movements,normal_event
Physical Conflict,not_normal_event
Constant surveillance,not_normal_event
Non-ignited structure,not_normal_event
Casual conversation,normal_event
Trespassing,not_normal_event
Overcrowding,not_normal_event
Debris,not_normal_event
Leaving without paying,not_normal_event
General Public Activity,normal_event
Alarmed Individuals,not_normal_event
Retail theft,not_normal_event
Safe Environment,normal_event
Friendly Gestures,normal_event
Non-threatening body language,normal_event
leaving store legally,normal_event
Fire,not_normal_event
Threatening Gestures,not_normal_event
Rioting,not_normal_event
Free-of-damage scene,normal_event
Fire Accelerant,not_normal_event
Vandalism occurrence,not_normal_event
shoplifting,not_normal_event
Plantlife,normal_event
Weapon Presence,not_normal_event
regular nightly activities,normal_event
Concealed Identity,not_normal_event
Normal Traffic Flow,normal_event
Rapid Movement,not_normal_event
Emergency Services,not_normal_event
Damaged Property,not_normal_event
Regular pedestrian activity,normal_event
Panic,not_normal_event
peaceful activity,normal_event
Child,normal_event
Disrupted Order,not_normal_event
Suspicious Objects,not_normal_event
peaceful interaction with staff,normal_event
Emergency Response,not_normal_event
Assault action,not_normal_event
Safe Crossing,normal_event
Lawful gathering,normal_event
Police_Presence,not_normal_event
Scenic Views,normal_event
Unusual_Body_Language,not_normal_event
Theft activity,not_normal_event
Law-abiding Citizens,normal_event
Physical Altercations,not_normal_event
Tampering with Property,not_normal_event
Shoplifting,not_normal_event
Friendly gesture,normal_event
Possession of Dangerous Objects,not_normal_event
Peaceful communication,normal_event
Unusual Activity,not_normal_event
Safe Driving,normal_event
customer waiting in line,normal_event
Drug Use,not_normal_event
Parking Vehicle,normal_event
entering payment details,normal_event
Normal Commotion,normal_event
Aggressive Body Language,not_normal_event
Alert,not_normal_event
Regular business operation,normal_event
Orderly arrangement,normal_event
Loitering,not_normal_event
Casual Interaction,normal_event
authorized access,normal_event
abuse,not_normal_event
Detainees,not_normal_event
Public leisure activity,normal_event
Stealing Action,not_normal_event
Disarray or Chaos,not_normal_event
Smoke,not_normal_event
Theft,not_normal_event
placid neighborhood interaction,normal_event
Casual walking,normal_event
daily sanitation routines,normal_event
Person with Mask,not_normal_event
Authorized entry,normal_event
